image,region,version,tone_evenness_score
00189.png,bottom-face,original_roi,0.23108831503735322
00189.png,forehead,original_roi,0.21421692475934812
00189.png,under-eyes,original_roi,0.16890121326470572
00189.png,left-cheek,a_degradation_11,0.26814891078681846
00189.png,right-cheek,a_degradation_11,0.1371809609884283
00189.png,bottom-face,a_degradation_11,0.22235555932647869
00189.png,forehead,a_degradation_11,0.20170849088132223
00189.png,under-eyes,a_degradation_11,0.16161234615270104
00189.png,left-cheek,a_degradation_17,0.26184018029280176
00189.png,right-cheek,a_degradation_17,0.13022123253945297
00189.png,bottom-face,a_degradation_17,0.20877889347202386
00189.png,forehead,a_degradation_17,0.19428774246620328
00189.png,under-eyes,a_degradation_17,0.1621048750098902
00197.png,left-cheek,original_roi,0.1381880333711839
00197.png,right-cheek,original_roi,0.10088369224427055
00197.png,bottom-face,original_roi,0.1711671040898925
00197.png,forehead,original_roi,0.1353171462546669
00197.png,under-eyes,original_roi,0.12753074926924005
00197.png,left-cheek,a_degradation_11,0.13807061570350343
00197.png,right-cheek,a_degradation_11,0.09465714192656663
00197.png,bottom-face,a_degradation_11,0.16079053157012294
00197.png,forehead,a_degradation_11,0.12697701084364715
00197.png,under-eyes,a_degradation_11,0.12371370119572071
00197.png,left-cheek,a_degradation_17,0.12974428577314323
00197.png,right-cheek,a_degradation_17,0.0860408823509815
00197.png,bottom-face,a_degradation_17,0.14475974202660286
00197.png,forehead,a_degradation_17,0.11990776427862741
00197.png,under-eyes,a_degradation_17,0.11833040196700188
00232.png,left-cheek,original_roi,0.2374438843484025
00232.png,right-cheek,original_roi,0.25843617660126217
00232.png,bottom-face,original_roi,0.2983773351389521
00232.png,forehead,original_roi,0.24608541768484657
00232.png,under-eyes,original_roi,0.19709993634166376
00232.png,left-cheek,a_degradation_11,0.21945934583329874
00232.png,right-cheek,a_degradation_11,0.2370224645126262
00232.png,bottom-face,a_degradation_11,0.2688904160025283
00232.png,forehead,a_degradation_11,0.23443279524715196
