image,region,version,evenness_score
00123.png,right-cheek,original_roi,0.004653483610063142
00123.png,bottom-face,original_roi,0.005226987006253331
00123.png,forehead,original_roi,0.0043350594259876215
00123.png,under-eyes,original_roi,0.004681947316019191
00123.png,left-cheek,smooth_1_sigma_1.5,0.004383727903080639
00123.png,right-cheek,smooth_1_sigma_1.5,0.004856337936533222
00123.png,bottom-face,smooth_1_sigma_1.5,0.005492801902975168
00123.png,forehead,smooth_1_sigma_1.5,0.004512589709287129
00123.png,under-eyes,smooth_1_sigma_1.5,0.00537604002236045
00123.png,left-cheek,smooth_2_sigma_2.5,0.004418006219347708
00123.png,right-cheek,smooth_2_sigma_2.5,0.00490867621591292
00123.png,bottom-face,smooth_2_sigma_2.5,0.005586845327211074
00123.png,forehead,smooth_2_sigma_2.5,0.004546245220356178
00123.png,under-eyes,smooth_2_sigma_2.5,0.0058083077690993705
00125.png,left-cheek,original_roi,0.005292785889866991
00125.png,right-cheek,original_roi,0.004799645614545224
00125.png,bottom-face,original_roi,0.005301644032141318
00125.png,forehead,original_roi,0.004057155242577819
00125.png,under-eyes,original_roi,0.004895142124550018
00125.png,left-cheek,smooth_1_sigma_1.5,0.0055221708741439775
00125.png,right-cheek,smooth_1_sigma_1.5,0.004985144682959759
00125.png,bottom-face,smooth_1_sigma_1.5,0.0055795792977409685
00125.png,forehead,smooth_1_sigma_1.5,0.004388327020245
00125.png,under-eyes,smooth_1_sigma_1.5,0.005372523904237309
00125.png,left-cheek,smooth_2_sigma_2.5,0.005566010665102181
00125.png,right-cheek,smooth_2_sigma_2.5,0.005025634816974332
00125.png,bottom-face,smooth_2_sigma_2.5,0.005631069831743591
00125.png,forehead,smooth_2_sigma_2.5,0.004477760773887508
00125.png,under-eyes,smooth_2_sigma_2.5,0.0055150559964693155
00132.png,left-cheek,original_roi,0.004461681469822995
00132.png,right-cheek,original_roi,0.004170027749771817
00132.png,bottom-face,original_roi,0.004380111647449201
00132.png,forehead,original_roi,0.004381480880751633
00132.png,under-eyes,original_roi,0.004520157936708883
00132.png,left-cheek,smooth_1_sigma_1.5,0.004824328157677146
00132.png,right-cheek,smooth_1_sigma_1.5,0.004397010644901754
00132.png,bottom-face,smooth_1_sigma_1.5,0.004645135791549372
00132.png,forehead,smooth_1_sigma_1.5,0.004595315332093327
00132.png,under-eyes,smooth_1_sigma_1.5,0.004746771787448963
00132.png,left-cheek,smooth_2_sigma_2.5,0.004899007894789888
00132.png,right-cheek,smooth_2_sigma_2.5,0.004447432396728783
00132.png,bottom-face,smooth_2_sigma_2.5,0.004697503680516887
00132.png,forehead,smooth_2_sigma_2.5,0.004636957316747448
00132.png,under-eyes,smooth_2_sigma_2.5,0.004797611211684261
00133.png,left-cheek,original_roi,0.007206811325237437
00133.png,right-cheek,original_roi,0.004743561004622178
00133.png,bottom-face,original_roi,0.0059701280431041495
00133.png,forehead,original_roi,0.0048133202409495115
00133.png,under-eyes,original_roi,0.005216959770145223
00133.png,left-cheek,smooth_1_sigma_1.5,0.007601973750201061
00133.png,right-cheek,smooth_1_sigma_1.5,0.004972203691318155
00133.png,bottom-face,smooth_1_sigma_1.5,0.00629962809174797
00133.png,forehead,smooth_1_sigma_1.5,0.005049269540124494
00133.png,under-eyes,smooth_1_sigma_1.5,0.005580692174787054
00133.png,left-cheek,smooth_2_sigma_2.5,0.007686265899412656
00133.png,right-cheek,smooth_2_sigma_2.5,0.005022903772079595
00133.png,bottom-face,smooth_2_sigma_2.5,0.006368775754247644
00133.png,forehead,smooth_2_sigma_2.5,0.0050995070997285835
00133.png,under-eyes,smooth_2_sigma_2.5,0.005731059644610379
00142.png,left-cheek,original_roi,0.006149475206869685
00142.png,right-cheek,original_roi,0.007457756993539935
00142.png,bottom-face,original_roi,0.006454312821788959
00142.png,forehead,original_roi,0.006141183991266504
00142.png,under-eyes,original_roi,0.007393553519891498
00142.png,left-cheek,smooth_1_sigma_1.5,0.006442950855958792
00142.png,right-cheek,smooth_1_sigma_1.5,0.007947853407178624
00142.png,bottom-face,smooth_1_sigma_1.5,0.00808358033652524
00142.png,forehead,smooth_1_sigma_1.5,0.006491928736165078
00142.png,under-eyes,smooth_1_sigma_1.5,0.007809854150372684
00142.png,left-cheek,smooth_2_sigma_2.5,0.0065129135795461025
00142.png,right-cheek,smooth_2_sigma_2.5,0.00806009562983129
00142.png,bottom-face,smooth_2_sigma_2.5,0.008756348453567979
00142.png,forehead,smooth_2_sigma_2.5,0.006590634365520185
